CDM_TBL,src_code,concept_code,src_vocab_code,vocabulary_id,domain_id,target_concept_id
OBS_GEN,1287162002,1287162002,SNOMED,SNOMED,Observation,1244335
OBS_GEN,911753461000004102,911753461000004102,SNOMED,SNOMED,Observation,619804
OBS_GEN,1155873004,1155873004,SNOMED,SNOMED,Observation,607736
OBS_GEN,1279900005,1279900005,SNOMED,SNOMED,Observation,37168396
OBS_GEN,1285327002,1285327002,SNOMED,SNOMED,Observation,37154640
OBS_GEN,1255765003,1255765003,SNOMED,SNOMED,Observation,37165810
OBS_GEN,1149024007,1149024007,SNOMED,SNOMED,Observation,607049
OBS_GEN,1155828006,1155828006,SNOMED,SNOMED,Observation,607707
OBS_GEN,1256030002,1256030002,SNOMED,SNOMED,Observation,37154043
OBS_GEN,1156188002,1156188002,SNOMED,SNOMED,Observation,603094
OBS_GEN,1269402006,1269402006,SNOMED,SNOMED,Observation,37151620
OBS_GEN,1287864003,1287864003,SNOMED,SNOMED,Measurement,1244496
OBS_GEN,1155805005,1155805005,SNOMED,SNOMED,Observation,607686
OBS_GEN,2670001000004107,2670001000004107,SNOMED,SNOMED,Observation,602280
OBS_GEN,1285480002,1285480002,SNOMED,SNOMED,Observation,37154663
OBS_GEN,1268891008,1268891008,SNOMED,SNOMED,Measurement,37167724
OBS_GEN,1269552004,1269552004,SNOMED,SNOMED,Observation,37168084
OBS_GEN,2710001000004109,2710001000004109,SNOMED,SNOMED,Measurement,602281
OBS_GEN,1155801001,1155801001,SNOMED,SNOMED,Observation,603057
OBS_GEN,27350008,27350008,SNOMED,SNOMED,Measurement,4099595
OBS_GEN,1287179008,1287179008,SNOMED,SNOMED,Observation,1242425
OBS_GEN,1269293008,1269293008,SNOMED,SNOMED,Measurement,37167989
OBS_GEN,1155791001,1155791001,SNOMED,SNOMED,Observation,607674
OBS_GEN,1546631000004100,1546631000004100,SNOMED,SNOMED,Measurement,37174384
OBS_GEN,1030001000004100,1030001000004100,SNOMED,SNOMED,Measurement,37174347
OBS_GEN,1156424007,1156424007,SNOMED,SNOMED,Measurement,37160213
OBS_GEN,1256122000,1256122000,SNOMED,SNOMED,Measurement,37165973
OBS_GEN,1256123005,1256123005,SNOMED,SNOMED,Observation,37158367
OBS_GEN,373120008,373120008,SNOMED,SNOMED,Measurement,4160787
OBS_GEN,1155823002,1155823002,SNOMED,SNOMED,Observation,607702
OBS_GEN,1149027000,1149027000,SNOMED,SNOMED,Observation,607051
OBS_GEN,1234805007,1234805007,SNOMED,SNOMED,Observation,37157766
OBS_GEN,1255592006,1255592006,SNOMED,SNOMED,Observation,37158250
OBS_GEN,1280006002,1280006002,SNOMED,SNOMED,Measurement,37168455
OBS_GEN,1546591000004100,1546591000004100,SNOMED,SNOMED,Measurement,602260
OBS_GEN,1268441003,1268441003,SNOMED,SNOMED,Measurement,37167550
OBS_GEN,1269295001,1269295001,SNOMED,SNOMED,Observation,37158779
OBS_GEN,1156573000,1156573000,SNOMED,SNOMED,Measurement,37160280
OBS_GEN,1179269001,1179269001,SNOMED,SNOMED,Observation,37161402
OBS_GEN,1149036001,1149036001,SNOMED,SNOMED,Observation,607059
OBS_GEN,1157133006,1157133006,SNOMED,SNOMED,Observation,37151840
OBS_GEN,1279933000,1279933000,SNOMED,SNOMED,Observation,37168407
OBS_GEN,1285429003,1285429003,SNOMED,SNOMED,Observation,37151641
OBS_GEN,1156085002,1156085002,SNOMED,SNOMED,Measurement,37160161
OBS_GEN,1279916007,1279916007,SNOMED,SNOMED,Observation,37158866
OBS_GEN,1286852000,1286852000,SNOMED,SNOMED,Observation,37159119
OBS_GEN,1285476007,1285476007,SNOMED,SNOMED,Observation,37168678
OBS_GEN,1287132008,1287132008,SNOMED,SNOMED,Observation,1242402
OBS_GEN,396642005,396642005,SNOMED,SNOMED,Observation,4214371
OBS_GEN,444411008,444411008,SNOMED,SNOMED,Measurement,40479389
OBS_GEN,1156116008,1156116008,SNOMED,SNOMED,Measurement,37160171
OBS_GEN,1287136006,1287136006,SNOMED,SNOMED,Observation,1242404
OBS_GEN,1264481003,1264481003,SNOMED,SNOMED,Measurement,37151600
OBS_GEN,1155790000,1155790000,SNOMED,SNOMED,Observation,607673
OBS_GEN,1620001000004107,1620001000004107,SNOMED,SNOMED,Measurement,602265
OBS_GEN,396237006,396237006,SNOMED,SNOMED,Measurement,4245726
OBS_GEN,911753591000004105,911753591000004105,SNOMED,SNOMED,Observation,619813
OBS_GEN,1340169005,1340169005,SNOMED,SNOMED,Observation,1074353
OBS_GEN,1268606008,1268606008,SNOMED,SNOMED,Observation,37154446
OBS_GEN,396933000,396933000,SNOMED,SNOMED,Measurement,4215285
OBS_GEN,1279930002,1279930002,SNOMED,SNOMED,Observation,37158873
OBS_GEN,1268445007,1268445007,SNOMED,SNOMED,Observation,37154394
OBS_GEN,716821000004105,716821000004105,SNOMED,SNOMED,Observation,618650
OBS_GEN,1279901009,1279901009,SNOMED,SNOMED,Observation,37158864
OBS_GEN,1155812001,1155812001,SNOMED,SNOMED,Observation,607691
OBS_GEN,1546621000004103,1546621000004103,SNOMED,SNOMED,Observation,602263
OBS_GEN,1275630008,1275630008,SNOMED,SNOMED,Observation,37158830
OBS_GEN,1149045000,1149045000,SNOMED,SNOMED,Observation,607065
OBS_GEN,1279710005,1279710005,SNOMED,SNOMED,Observation,37168299
OBS_GEN,911753551000004103,911753551000004103,SNOMED,SNOMED,Observation,619812
OBS_GEN,1268936002,1268936002,SNOMED,SNOMED,Observation,37158725
OBS_GEN,1155824008,1155824008,SNOMED,SNOMED,Observation,607703
OBS_GEN,1285392003,1285392003,SNOMED,SNOMED,Measurement,37168651
OBS_GEN,1286762000,1286762000,SNOMED,SNOMED,Observation,37154697
OBS_GEN,1255593001,1255593001,SNOMED,SNOMED,Observation,37158252
OBS_GEN,1255603002,1255603002,SNOMED,SNOMED,Observation,37158255
OBS_GEN,1155894001,1155894001,SNOMED,SNOMED,Observation,607757
OBS_GEN,1155927002,1155927002,SNOMED,SNOMED,Observation,607770
OBS_GEN,106243009,106243009,SNOMED,SNOMED,Measurement,4024730
